ID,ShortDesc,Engine,Year,Month,Displacement,Power_kW,Horsepower,Km,PictureCount,Prices
16193245,RENAULT MEGANE 1.6 Generation Magyar. vezetett szervizkönyv. 122.000 km !,Benzin,2012,1,1598,74,101,122000,12,1898000
16288027,RENAULT MEGANE 1.4 TCe Dynamique NAVIGÁCIÓ,Benzin,2011,5,1397,96,131,161000,12,1990000
16193612,RENAULT MEGANE Grandtour 1.6 Expression SZERVÍZKÖNYV! GARANTÁLT KM!,Benzin,2009,11,1598,82,111,138300,12,1990000
16281776,RENAULT MEGANE 1.6 Generation 90000Km!GyáriFényezés!VezetettSzervizköny!Magyarországi!,Benzin,2012,11,1598,74,101,90000,12,1999000
16254559,RENAULT MEGANE Grandtour 1.5 dCi Business,Diesel,2014,3,1461,70,95,217500,5,1999999
16284701,RENAULT MEGANE 1.5 dCi Dynamique EDC CC automata tulajdonostól!,Diesel,2010,10,1461,81,110,147000,6,2150000
16276937,RENAULT MEGANE Grandtour 1.6 Advantage ÁTVIZSGÁLT LESZERVIZELT ÁLLAPOT,Benzin,2012,9,1598,74,101,81531,12,2200000
16286634,RENAULT MEGANE Grandtour 1.5 dCi Business Start&Stop Magyarországi! 100EKM!,Diesel,2015,12,1461,81,110,100000,11,2799000
16282429,RENAULT MEGANE Grandtour 1.6 SCe Zen ÚJ IV.-ES MODELL.MO.-I.SZERVIZKÖNYV.GYÁRI FÉNY.1 TULAJ,Benzin,2017,6,1598,84,114,178674,6,3399000
16242081,RENAULT MEGANE GrandCoupé 1.6 SCe Life Magyar--1.Privát Tulaj.--Vez.Szkönyv--S.mentes--Garanciális,Benzin,2017,7,1598,84,114,87504,12,3799000
16264731,RENAULT MEGANE Grandtour 1.2 TCe Bose EDC7 Magyarországi!Szervizkönyves!,Benzin,2017,10,1197,97,132,120000,12,4199000
16283657,RENAULT MEGANE GrandCoupé 1.5 Blue dCi Intens EDC Azonnal átvehető! Akciós!,Diesel,2020,10,1461,85,116,6,11,7599000
16299357,RENAULT MEGANE 1.6 RN,Benzin,1998,6,1598,66,90,185000,5,35000
16268453,RENAULT MEGANE Classic 1.4 RL,Benzin,1999,10,1390,55,75,179000,5,65000
16132035,RENAULT MEGANE Classic 1.6 Business,Benzin,1998,11,1598,66,90,220000,4,77777
16234608,RENAULT MEGANE 1.4 ECO fix ár,Benzin,1996,6,1390,51,69,169000,6,79000
16277414,RENAULT MEGANE 1.9 DTi RT,Diesel,1998,3,1870,72,98,273000,5,80000
16238061,RENAULT MEGANE 1.4 RN,Benzin,1999,NA,1390,55,75,118000,6,80000
16263789,RENAULT MEGANE Classic 1.4 16V RN Cool,Benzin,1999,7,1390,70,95,395000,4,99000
16129201,RENAULT MEGANE 1.6 RN,Benzin,1996,9,1598,55,75,207000,7,99000
16293087,RENAULT MEGANE 1.4 ECO,Benzin,1997,5,1390,51,69,418882,6,120000
16292099,RENAULT MEGANE Classic 1.6 16V Expression Fix ár,Benzin,2000,NA,1598,79,107,290000,5,129000
13205409,RENAULT MEGANE 1.4 16V RN,Benzin,2000,6,1390,70,95,306479,8,130000
16289389,RENAULT MEGANE 1.6 16V RT KLÍMÁS!!!,Benzin,2000,3,1598,79,107,316422,0,139999
16217446,RENAULT MEGANE 1.4 Comfort,Benzin,1997,4,1390,51,69,360000,0,140000
15958582,RENAULT MEGANE 1.9 DTi RT Klíma.ABS,Diesel,2001,5,1870,72,98,189000,6,140000
16272890,RENAULT MEGANE 1.9 DTi RT Cool (Automata),Diesel,2000,5,1870,72,98,290000,1,145000
15786652,RENAULT MEGANE 1.4 16V Expression,Benzin,1999,9,1390,70,95,208000,12,145000
16285818,RENAULT MEGANE,Diesel,2002,3,1870,66,90,222416,5,149000
16251543,RENAULT MEGANE 1.4 16V Alize,Benzin,2002,6,1390,70,95,248000,6,149999
16287107,RENAULT MEGANE 1.6 RN,Benzin,1996,7,1598,66,90,307900,6,155000
16282463,RENAULT MEGANE Classic 1.6 RT ELADVA!! NEKEM MÁR VAN GAZDÁM :),Benzin,1999,3,1598,66,90,163766,12,159000
16301356,RENAULT MEGANE Cabrio 2.0 16V RT,Benzin,1997,1,1998,108,147,180000,4,160000
16184386,RENAULT MEGANE 1.6 16V Alize,Benzin,2000,11,1598,79,107,355000,6,160000
15995420,RENAULT MEGANE 1.6 RN,Benzin,1996,NA,1598,66,90,300000,3,160000
16185104,RENAULT MEGANE 1.4 RL,Benzin,1996,10,1390,55,75,204000,6,170000
16142196,RENAULT MEGANE 1.4 ECO,Benzin,1997,3,1390,51,69,194000,12,179000
16274878,RENAULT MEGANE Cabrio 1.4 16V Sport,Benzin,1999,11,1390,70,95,145023,11,189000
15934202,RENAULT MEGANE Classic 1.6 Business Klima,Benzin,1997,6,1598,66,90,249000,12,189000
15933919,RENAULT MEGANE 1.4 Chic,Benzin,1998,7,1390,55,75,228312,2,189999
16289857,RENAULT MEGANE 1.4 16V RXE,Benzin,1999,7,1390,70,95,337951,5,195000
16238783,RENAULT MEGANE Classic 1.4 RN Magyar o.i. kevés km-el,Benzin,1997,10,1390,55,75,157720,6,195000
16066096,RENAULT MEGANE Classic 1.6 16V Alize,Benzin/Gáz,2002,11,1598,79,107,511000,5,198000
16298813,RENAULT MEGANE 1.6 RN,Benzin,1998,8,1598,66,90,369550,6,199000
16239291,RENAULT MEGANE Coupe 1.6e RN,Benzin,1997,6,1598,66,90,163000,2,199000
16219968,RENAULT MEGANE 2.0 RT Kitűnő. Megkímélt állapot!,Benzin,1996,8,1998,85,116,393560,11,199000
16219959,RENAULT MEGANE Classic 1.6 16V Authentique,Benzin,2000,5,1598,79,107,304000,11,199000
16150882,RENAULT MEGANE 1.4 Comfort,Benzin,1997,5,1390,51,69,147400,11,199000
16090047,RENAULT MEGANE 1.4 RL CSOKITO,Benzin,1997,NA,1390,55,75,250000,10,199000
15890219,RENAULT MEGANE 1.4 16V RN,Benzin,1999,11,1390,70,95,301000,6,199000
15992131,RENAULT MEGANE 1.4 16V Authentique Cool,Benzin,2001,7,1390,70,95,223000,6,199990
16281805,RENAULT MEGANE 1.6 Chic,Benzin,1998,12,1598,66,90,357283,11,199999
16298775,RENAULT MEGANE 1.8 16V Monaco,Benzin,2003,1,1783,85,116,285000,5,200000
16191606,RENAULT MEGANE 1.4 RN,Benzin,1998,NA,1390,55,75,230000,4,200000
16176508,RENAULT MEGANE 1.4 16V RN,Benzin,2000,6,1390,70,95,320000,5,200000
16278991,RENAULT MEGANE 1.5 dCi Authentique Plus Motor kitűnő,Diesel,2003,10,1461,60,82,210000,6,205000
15732847,RENAULT MEGANE 1.4 Comfort Téli / Nyári gumival,Benzin,1997,11,1390,51,69,252137,6,210000
16291520,RENAULT MEGANE 1.5 dCi Dynamique,Diesel,2008,NA,1461,78,106,299000,6,220000
16284717,RENAULT MEGANE 1.4 ECO,Benzin,1997,NA,1390,51,69,216332,5,220000
16259585,RENAULT MEGANE 1.5 dCi Authentique,Diesel,2003,9,1461,60,82,267000,5,220000
16258603,RENAULT MEGANE 1.4 16V RN Vonóhorog. Klíma,Benzin,1999,6,1390,70,95,306545,10,220000
16147563,RENAULT MEGANE Classic 1.4 RN,Benzin,1999,5,1390,70,95,242455,6,220000
16297879,RENAULT MEGANE 1.4 RN Eredeti Magyar autó + KM Garancia!!,Benzin,1996,12,1390,55,75,154000,12,225000
16232741,RENAULT MEGANE 1.4 16V Authentique,Benzin,2001,3,1390,70,95,185000,6,225000
16159333,RENAULT MEGANE 1.6 16V Authentique,Benzin,2001,2,1598,79,107,304000,11,229000
16274360,RENAULT MEGANE 1.6 RN,Benzin,1998,5,1598,55,75,123400,4,230000
16261003,RENAULT MEGANE Megane 1.4 BERLINE,Benzin,2001,1,1400,70,95,203770,6,230000
16253838,RENAULT MEGANE Classic 1.4 RL,Benzin,1999,12,1390,55,75,290000,4,230000
15866315,RENAULT MEGANE 1.6 RT,Benzin,1997,7,1598,66,90,245449,6,230000
16291941,RENAULT MEGANE 1.4 Authentique Plus,Benzin,2005,11,1390,72,98,197000,5,239000
16103323,RENAULT MEGANE 1.5 dCi Authentique Plus,Diesel,2004,9,1461,60,82,238000,6,239000
15876415,RENAULT MEGANE 1.4 Chic,Benzin,1997,1,1390,51,69,249898,12,239999
16160649,RENAULT MEGANE Coupe 2.0 16V Privilege,Benzin,2001,5,1998,103,140,204727,6,245000
16101415,RENAULT MEGANE Classic 1.9 dCi Alize KLIMA.SZERVÓ.LÉGZSÁK,Diesel,2003,4,1870,75,102,225000,6,245000
16230958,RENAULT MEGANE 1.4 RN,Benzin,1997,6,1390,55,75,257000,6,249000
16289004,RENAULT MEGANE Classic 1.6 16V Authentique Napfénytető,Benzin,1999,12,1598,79,107,234654,12,249999
12404037,RENAULT MEGANE 1.4 16V Dynamique,Benzin,2001,6,1390,70,95,189999,0,249999
16301946,RENAULT MEGANE 1.4 16V Alize,Benzin,2001,NA,1390,70,95,282000,6,250000
16269741,RENAULT MEGANE 1.4 16V RN,Benzin,1999,12,1390,70,95,203231,6,250000
16261487,RENAULT MEGANE 1.6 RT,Benzin,1997,8,1598,66,90,280000,4,250000
16260310,RENAULT MEGANE 1.4 16V Alize,Benzin,2001,NA,1390,70,95,206000,6,250000
16249256,RENAULT MEGANE 1.4 RL,Benzin,1997,6,1390,55,75,257000,4,250000
16203294,RENAULT MEGANE 1.6 16V RT,Benzin,1999,NA,1598,79,107,290000,5,250000
15828608,RENAULT MEGANE 1.9 dCi Alize JÓ ÁLLAPOTÚ!5 LITERT ESZIK!FRISS VIZSGA!,Diesel,2002,12,1870,75,102,320000,10,250000
15797499,RENAULT MEGANE Classic 1.6 16V Privilege Classic,LPG,2000,12,1598,79,107,220069,6,250000
15260404,RENAULT MEGANE 1.4 RL,Benzin,1998,3,1390,55,75,290000,6,250000
15139584,RENAULT MEGANE Grandtour 1.9 dCi Privilege Magyarországi,Diesel,2005,4,1870,88,120,274000,10,250000
16277660,RENAULT MEGANE Classic 1.6 RT,Benzin,1997,11,1598,66,90,293000,6,255000
16189374,RENAULT MEGANE Classic 1.6 Business,Benzin,1996,NA,1598,66,90,300100,6,255000
16255617,RENAULT MEGANE 1.4 16V Alize,Benzin,2002,4,1390,70,95,247500,6,260000
16158137,RENAULT MEGANE 1.4 Chic Klima,Benzin,1997,4,1390,55,75,194000,5,260000
16155288,RENAULT MEGANE Classic 1.6 16V Authentique Kecskeméten,Benzin,2002,NA,1598,79,107,614723,5,260000
16140767,RENAULT MEGANE 1.6 RN,Benzin,1996,6,1598,66,90,164825,3,260000
16294047,RENAULT MEGANE 1.4 16V Authentique,Benzin,2000,12,1390,70,95,167000,6,265000
16289347,RENAULT MEGANE Classic 1.6 Business 2.TULAJ.NAGYON JÓ MOTOR,Benzin,1997,11,1598,66,90,266000,6,265000
16156453,RENAULT MEGANE Classic 1.6 16V Alize Megkímélt valós KM!!,Benzin,2000,12,1598,79,107,172000,6,265000
16288718,RENAULT MEGANE 1.9 dCi Alize,Diesel,2002,NA,1870,75,102,233000,4,270000
16278290,RENAULT MEGANE 1.9 dCi Expression,Diesel,2002,NA,1870,75,102,330,6,270000
15981966,RENAULT MEGANE Coupe 1.6e RN,Benzin,1996,11,1598,66,90,203000,5,270000
16271993,RENAULT MEGANE 1.6 RT,Benzin,1997,8,1598,66,90,298000,6,275000
16197024,RENAULT MEGANE Classic 1.4 RL,Benzin,1998,9,1390,55,75,209000,4,275000
15488763,RENAULT MEGANE Classic 1.6 16V Expression,Benzin,2001,6,1598,79,107,325160,5,277000
16285690,RENAULT MEGANE 1.4 RL,Benzin,1998,8,1390,55,75,199800,10,280000
16280008,RENAULT MEGANE 1.4 Azure,Benzin,2004,2,1390,72,98,324659,6,285000
16246413,RENAULT MEGANE 1.4 Authentique Plus Vizsgás //,Benzin,2004,3,1390,72,98,264500,6,288000
16262998,RENAULT MEGANE 1.5 dCi Dynamique,Diesel,2004,12,1461,73,99,219000,6,290000
16234316,RENAULT MEGANE 1.4 16V Alize,Benzin,2002,10,1390,70,95,353400,6,290000
16215900,RENAULT MEGANE 1.9 dCi Dynamique,Diesel,2003,10,1870,88,120,300000,6,290000
16203495,RENAULT MEGANE 1.4 16V RN Cool,Benzin,1999,7,1390,70,95,202114,5,290000
15978369,RENAULT MEGANE Cabrio 1.6e,Benzin,1997,7,1598,66,90,210000,10,298000
16301940,RENAULT MEGANE 1.4 ECO,Benzin,1997,7,1390,51,69,200046,12,299000
16299720,RENAULT MEGANE 1.4 RL 15 ÉVIG A 2.TULAJDONOS BIRTOKÁBÓL. RENDESEN KARBANTARTOTT,Benzin,1998,9,1390,55,75,238000,8,299000
16298492,RENAULT MEGANE Classic 1.4 16V Authentique Cool,Benzin,1999,6,1390,70,95,146243,12,299000
16294636,RENAULT MEGANE 1.5 dCi Authentique,Diesel,2003,7,1461,60,82,332000,11,299000
16223753,RENAULT MEGANE 1.6 16V RT Cool,Benzin,2000,12,1598,79,107,327000,6,299000
16196011,RENAULT MEGANE 1.6 16V Alize,Benzin,2003,NA,1598,79,107,314495,7,299000
15916884,RENAULT MEGANE 1.4 16V Alize 152000km!MAGYAR!SZERVIZKÖNYVES!,Benzin,2002,2,1390,70,95,152000,5,299000
15913744,RENAULT MEGANE 1.4 Chic Klima garanciával . ingyen szervizekkel. házhoz szállítással,Benzin,1998,6,1390,55,75,160,1,299000
13997121,RENAULT MEGANE Classic 1.4 16V RN Cool,Benzin,2001,NA,1390,70,95,320000,6,299000
12909746,RENAULT MEGANE 1.6 RN 1.6 RN,Benzin,1997,2,1598,66,90,158000,5,299000
16254937,RENAULT MEGANE Classic 1.6 16V Authentique Cool Klíma-Megkímélt Üzembiztos állapot,Benzin,2002,12,1598,79,107,241220,12,299999
16281094,RENAULT MEGANE 1.6 16V Authentique,Benzin,2003,NA,1598,83,113,260000,6,299999
16255498,RENAULT MEGANE 1.5 dCi Authentique Komfort,Diesel,2004,NA,1461,60,82,336000,4,300000
16169670,RENAULT MEGANE 1.4 16V Dynamique Magyarországi-Elektromos ablak,Benzin,2000,8,1390,70,95,197000,12,300000
16212827,RENAULT MEGANE 1.6 16V Expression HIDEGKLIMÁVAL VONOHORGOS,Benzin,2001,10,1598,79,107,259000,6,310000
16289904,RENAULT MEGANE Classic 1.4 16V Alize KLIMA MULTIKORMANY EL.ABLAKOK,Benzin,2003,4,1390,70,95,306000,6,313000
16289600,RENAULT MEGANE Classic 1.6 16V Privilege KLÍMA MO.-i 254.000KM,Benzin,2000,6,1598,79,107,254000,12,319000
16254436,RENAULT MEGANE Classic 1.6 Business Klima,Benzin,1998,1,1598,66,90,324550,6,320000
15910872,RENAULT MEGANE Classic 1.4 Business,Benzin,1997,3,1390,55,75,287000,4,320000
15784167,RENAULT MEGANE 1.4 RN,Benzin,1999,6,1390,55,75,185000,6,320000
16252811,RENAULT MEGANE Grandtour 1.5dCi,Diesel,2004,10,1461,74,101,410000,6,325000
16035223,RENAULT MEGANE 1.9 dCi Alize,Diesel,2001,12,1870,75,102,225737,0,325000
15139751,RENAULT MEGANE Classic 1.4 16V Prima / Mo. 1.tul./ B-107,Benzin,2001,8,1390,70,95,183645,11,329000
16293846,RENAULT MEGANE Coupe 1.6 16V RXE,Benzin,1999,NA,1598,79,107,240000,6,330000
16290533,RENAULT MEGANE Classic 1.4 16V Expression KLÍMA.MAGYAR.VONÓHOROG!,Benzin,2002,4,1390,70,95,231600,10,330000
16131847,RENAULT MEGANE 1.4 Authentique,Benzin,2003,9,1390,72,98,241700,6,330000
15595353,RENAULT MEGANE 1.4 16V Expression Magánszemélytől,Benzin,1999,11,1390,70,95,220000,5,333000
16200904,RENAULT MEGANE 1.4 16V RN,Benzin,1999,NA,1390,70,95,280000,6,340000
15361949,RENAULT MEGANE 1.4 Authentique Plus,Benzin,2003,2,1390,72,98,194000,11,345000
16298777,RENAULT MEGANE Classic 1.4 RN FRISS MŰSZAKI!,Benzin,1997,9,1390,55,75,166064,11,349000
16236805,RENAULT MEGANE 1.5 dCi Dynamique,Diesel,2005,NA,1461,60,82,320000,6,349999
16207088,RENAULT MEGANE 1.6 16V Authentique,Benzin,2004,1,1598,83,113,229262,6,349999
16302202,RENAULT MEGANE Grandtour 1.5 dCi Dynamique,Diesel,2006,NA,1461,78,106,450000,5,350000
16296754,RENAULT MEGANE 1.6 16V Authentique,Benzin,2003,6,1598,83,113,255000,4,350000
16286173,RENAULT MEGANE 1.4 16V Alize,Benzin,2002,11,1390,70,95,238800,11,350000
16284182,RENAULT MEGANE 1.4 RN,Benzin,2000,7,1390,55,75,283000,5,350000
16283386,RENAULT MEGANE Classic 1.4 16V Alize,Benzin,2001,8,1390,70,95,207000,5,350000
16264008,RENAULT MEGANE 1.6 16V RXE,Benzin,2000,1,1598,79,107,275353,6,350000
16259792,RENAULT MEGANE 1.9 dCi Dynamique Sedan,Diesel,2005,6,1870,88,120,218500,4,350000
16254781,RENAULT MEGANE 1.6 16V Authentique,Benzin,2003,5,1598,83,113,167100,6,350000
16204488,RENAULT MEGANE 1.9 DTi RT,Diesel,1999,NA,1870,72,98,377555,3,350000
16199276,RENAULT MEGANE 1.4 16V RN,Benzin,2000,7,1390,70,95,300000,0,350000
16194576,RENAULT MEGANE 1.5 dCi Dynamique Komfort,Diesel,2003,NA,1461,60,82,290290,6,350000
16186271,RENAULT MEGANE 1.6 16V Expression,Benzin,2000,NA,1598,79,107,363566,6,350000
16167603,RENAULT MEGANE 1.4 Chic,Benzin,2000,5,1390,55,75,202054,8,350000
16151434,RENAULT MEGANE 1.6 16V RT Cool,Benzin,1999,12,1598,79,107,197438,12,350000
15735862,RENAULT MEGANE Classic 1.4 16V RN Cool Kp zár. el ablak. téli +nyári kerékgarnitúrával. friss müszaki vizsgával,Benzin,1999,11,1390,70,95,201965,12,350000
14725962,RENAULT MEGANE Classic 1.4 RL,Benzin,1997,3,1390,58,79,220000,6,350000
16228958,RENAULT MEGANE 1.6 16V RT,Benzin,2000,3,1598,79,107,216000,5,359000
15907906,RENAULT MEGANE 1.5 dCi Azure Xenon! kézi 6,Diesel,2006,5,1461,78,106,360000,6,359000
16299448,RENAULT MEGANE 1.4 16V RN,Benzin,2000,3,1390,70,95,231534,5,359999
16236452,RENAULT MEGANE 1.5 dCi Authentique Komfort,Diesel,2004,10,1461,74,101,220000,6,360000
11321847,RENAULT MEGANE 1.9 dCi Monaco,Diesel,2006,8,1870,88,120,220000,6,365000
16093815,RENAULT MEGANE 1.9 dCi Alize,Diesel,2001,6,1870,75,102,235000,7,369000
16301884,RENAULT MEGANE 1.9 dCi Monaco,Diesel,2003,7,1870,88,120,278350,6,370000
16156281,RENAULT MEGANE Classic 1.4 16V Alize,Benzin,2002,NA,1390,70,95,260300,6,370000
16291835,RENAULT MEGANE 1.5 dCi Authentique,Diesel,2004,NA,1461,74,101,275000,6,380000
16276427,RENAULT MEGANE 1.6 16V Monaco Friss műszaki!,Benzin,2002,11,1598,79,107,239111,5,380000
16256465,RENAULT MEGANE 1.6 16V RXE,Benzin,1999,11,1598,79,107,315000,6,385000
16292013,RENAULT MEGANE Grandtour 1.5 dCi Authentique Plus,Diesel,2004,12,1461,60,82,346800,9,389000
16273914,RENAULT MEGANE 1.5 dCi Authentique Komfort,Diesel,2004,10,1461,74,101,230000,6,389000
16188292,RENAULT MEGANE Limousine 1.6 Authentique,Benzin,2004,12,1598,83,113,300000,5,389000
16291881,RENAULT MEGANE 1.5 dCi Authentique Plus,Diesel,2003,NA,1461,60,82,237000,6,390000
16123450,RENAULT MEGANE Grandtour 1.5 dCi Dynamique,Diesel,2004,5,1461,74,101,281961,6,390000
16199888,RENAULT MEGANE 1.4 RN,Benzin,1999,8,1390,55,75,234000,6,395000
16282357,RENAULT MEGANE Limousine 1.9 dCi Dynamique,Diesel,2003,5,1870,88,120,387490,10,397000
15575969,RENAULT MEGANE 1.9 DTi RT Friss műszakival,Diesel,1999,10,1870,72,98,341569,12,397777
16281296,RENAULT MEGANE 1.9 dCi Dynamique,Diesel,2004,12,1870,88,120,340000,5,399000
16239553,RENAULT MEGANE 1.5 dCi Authentique Plus klímás,Diesel,2004,NA,1461,73,99,307000,6,399000
16239533,RENAULT MEGANE 1.5 dCi Authentique klímás,Diesel,2002,NA,1461,60,82,229000,6,399000
16234371,RENAULT MEGANE Classic 1.4 16V Alize,Benzin,2002,6,1390,70,95,280805,10,399000
16231070,RENAULT MEGANE 1.4 16V Alize VONÓHOROG!!!,Benzin,2003,6,1390,70,95,181000,10,399000
16195338,RENAULT MEGANE 2.0 Dynamique,Benzin,2004,5,1998,99,135,12345,6,399000
16185864,RENAULT MEGANE 1.4 16V RN Cool,Benzin,2001,5,1390,70,95,275000,9,399000
15726516,RENAULT MEGANE Classic 1.4 16V RN,Benzin,1999,7,1390,70,95,206989,11,399000
15630878,RENAULT MEGANE 1.4 16V Authentique Cool VÉGIG VEZETETT SZERVÍZKÖNYV!!BENZIN-GÁZ ÜZEM!,Benzin,2001,5,1390,70,95,217000,6,399000
14948587,RENAULT MEGANE Classic 1.4 16V Prima,Benzin,2003,1,1390,70,95,216000,6,399000
16272821,RENAULT MEGANE 1.5 dCi Authentique Plus,Diesel,2003,10,1461,60,82,313358,6,399900
16280413,RENAULT MEGANE 1.5 dCi Authentique klíma.alufelni.5l fogyasztás,Diesel,2006,10,1461,63,86,310000,6,399999
16251102,RENAULT MEGANE 1.6 Privilege,Benzin,2003,1,1598,83,113,249154,4,399999
16297752,RENAULT MEGANE Classic 1.4 16V Expression Friss Műszaki-Klíma,Benzin,2000,8,1390,70,95,171600,7,400000
16288766,RENAULT MEGANE 1.6 16V RT Cool Berline,Benzin,2001,10,1598,79,107,267000,4,400000
16281824,RENAULT MEGANE Classic 1.6 16V RT Cool Klíma,Benzin,2000,8,1598,79,107,205000,12,400000
16269988,RENAULT MEGANE Cabrio 1.6 16V Expression,Benzin,2000,11,1598,79,107,234000,5,400000
16232326,RENAULT MEGANE 1.9 dCi Alize,Diesel,2003,2,1870,75,102,239240,6,400000
16254138,RENAULT MEGANE 1.6 16V RT Classic RTE,Benzin,2000,5,1598,79,107,272000,5,400000
16222607,RENAULT MEGANE 1.5 dCi Authentique Komfort,Diesel,2004,10,1461,60,82,500300,4,400000
16195030,RENAULT MEGANE Classic 1.6 16V Monaco,Benzin,2003,10,1598,79,107,212660,6,400000
15935945,RENAULT MEGANE 1.6 16V RT,Benzin,1999,NA,1598,79,107,199633,6,400000
16199429,RENAULT MEGANE 1.9 dCi Dynamique Plus,Diesel,2004,6,1870,88,120,280000,6,410000
16297257,RENAULT MEGANE Grandtour 1.5 dCi Authentique Plus,Diesel,2006,10,1461,63,86,354000,5,419000
16281757,RENAULT MEGANE 1.9 DTi RXE,Diesel,1999,6,1870,72,98,259000,6,420000
16249559,RENAULT MEGANE 1.5 dCi Authentique Plus,Diesel,2003,NA,1461,60,82,309000,5,420000
16042311,RENAULT MEGANE 1.5 dCi Authentique Komfort,Diesel,2004,12,1461,74,101,256500,6,420000
16290113,RENAULT MEGANE BREAK 1.4E,Benzin,1999,9,1390,55,75,166745,6,430000
16236485,RENAULT MEGANE Grandtour 1.5 dCi Dynamique MAGYARORSZÁGI ELSŐ TULAJ 2 KULCS.LEINFORMÁLHATÓ!!!,Diesel,2006,10,1461,63,86,394250,6,430000
16164344,RENAULT MEGANE 1.5 dCi Expression,Diesel,2005,9,1461,78,106,275589,12,439999
16298375,RENAULT MEGANE 1.6 16V Dynamique Komfort,Benzin,2005,NA,1598,83,113,255000,5,440000
16276652,RENAULT MEGANE Classic 1.9 dCi Alize,Diesel,2003,NA,1870,75,102,314600,6,440000
16160507,RENAULT MEGANE 1.6 Authentique,Benzin,2003,5,1598,83,113,227000,5,440000
15539213,RENAULT MEGANE 1.9 dCi Expression,Diesel,2002,1,1870,75,102,316500,5,440000
16173123,RENAULT MEGANE Cabrio 1.6 16V,Benzin,1999,5,1598,79,107,133000,3,444444
16295510,RENAULT MEGANE Grandtour 1.5 dCi Extreme,Diesel,2008,4,1461,78,106,223189,9,449000
16251544,RENAULT MEGANE 1.6 Authentique,Benzin,2002,12,1598,83,113,288000,4,449000
15837348,RENAULT MEGANE Limousine 1.4 Authentique,Benzin,2002,2,1390,72,98,428000,12,449000
15956813,RENAULT MEGANE 1.4 Premiere TÉLI.NYÁRI KERÉKGARNITÚRA,Benzin,2007,7,1390,72,98,350000,7,449999
16280209,RENAULT MEGANE 1.4 16V Authentique,Benzin,2001,10,1390,70,95,156300,6,450000
16269865,RENAULT MEGANE Grandtour 1.5 dCi Azure,Diesel,2007,NA,1461,63,86,308000,6,450000
16194358,RENAULT MEGANE 1.5 dCi Authentique Plus,Diesel,2005,NA,1461,63,86,275000,6,450000
16174166,RENAULT MEGANE 1.6 16V Alize,Benzin,2001,6,1598,79,107,215031,6,450000
16133340,RENAULT MEGANE 1.4 16V Authentique Cool,Benzin,2002,7,1390,70,95,234000,2,450000
16047104,RENAULT MEGANE 1.9 dCi Authentique,Diesel,2003,10,1870,75,102,230000,6,450000
